id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,Visa,Debit,4344676511950440.00,12/22/2026,623,YES,2,"$24,295 ",9/2/2026,2008
2731,825,Visa,Debit,4956965974959980.00,12/20/2026,393,YES,2,"$21,968 ",4/14/2026,2014
3701,825,Visa,Debit,4582313478255490.00,2/24/2026,719,YES,2,"$46,414 ",7/3/2026,2004
42,825,Visa,Credit,4879494103069050.00,8/24/2026,693,NO,1,"$12,400 ",1/3/2026,2012
4659,825,Mastercard,Debit (Prepaid),5722874738736010.00,3/9/2026,75,YES,1,$28 ,9/8/2026,2009
4537,1746,Visa,Credit,4404898874682990.00,9/3/2026,736,YES,1,"$27,500 ",9/3/2026,2012
1278,1746,Visa,Debit,4001482973848630.00,7/22/2026,972,YES,2,"$28,508 ",2/11/2026,2011
3687,1746,Mastercard,Debit,5627220683410940.00,6/22/2026,48,YES,2,"$9,022 ",7/3/2026,2015
3465,1746,Mastercard,Debit (Prepaid),5711382187309320.00,11/20/2026,722,YES,2,$54 ,6/10/2026,2015
3754,1746,Mastercard,Debit (Prepaid),5766121508358700.00,2/23/2026,908,YES,1,$99 ,7/6/2026,2012
5144,1718,Mastercard,Debit,5495199163052050.00,3/22/2026,677,YES,2,"$31,599 ",10/9/2026,2009
2029,1718,Mastercard,Debit,5804499644308590.00,7/23/2026,258,NO,2,"$27,480 ",3/2/2026,2008
2379,1718,Mastercard,Debit,5766352389579830.00,2/20/2026,992,YES,1,"$26,743 ",3/19/2026,2019
2732,1718,Visa,Debit,4242015583697290.00,6/20/2026,928,YES,1,"$31,463 ",4/14/2026,2014
4706,1718,Mastercard,Debit,5191030913182490.00,6/24/2026,360,YES,1,"$16,055 ",9/9/2026,2009
281,708,Visa,Credit,4017261190134810.00,5/15/2026,877,YES,2,"$98,100 ",1/11/2026,2011
1106,708,Mastercard,Debit (Prepaid),5581970288727990.00,6/20/2026,448,YES,1,$62 ,2/7/2026,2007
5621,708,Visa,Debit,4032240655674500.00,6/22/2026,53,YES,1,"$132,439 ",11/10/2026,2011
5165,708,Visa,Debit,4935974646456350.00,6/20/2026,649,YES,1,"$125,723 ",10/9/2026,2010
5757,1164,Mastercard,Debit,5905027855347650.00,1/22/2026,886,YES,1,"$34,900 ",12/1/1999,2012
27,68,Visa,Credit,4099623033306950.00,9/21/2026,74,YES,2,"$9,900 ",1/2/2026,2019
4648,68,Visa,Debit,4281200324251210.00,7/13/2026,865,YES,2,"$21,587 ",9/7/2026,2007
5435,68,Visa,Credit,4411456925570760.00,11/22/2026,922,YES,2,"$15,800 ",11/5/2026,2011
3287,1075,Mastercard,Debit,5202477865497330.00,4/22/2026,861,YES,1,"$29,964 ",6/5/2026,2014
4761,1075,Mastercard,Credit,5089768442116300.00,7/23/2026,686,YES,2,"$11,200 ",9/10/2026,2010
5286,1075,Mastercard,Debit,5767339719294370.00,12/21/2026,669,NO,2,"$26,753 ",10/14/2026,2014
744,1711,Visa,Debit,4595831603224640.00,5/23/2026,689,NO,2,"$17,480 ",1/20/2026,2020
5559,1116,Mastercard,Debit,5341049613275150.00,9/21/2026,396,YES,2,"$26,546 ",11/9/2026,2009
4905,1116,Mastercard,Debit,5668831527649350.00,1/21/2026,356,YES,1,"$23,253 ",9/17/2026,2017
79,1116,Visa,Credit,4400056931148230.00,2/21/2026,497,YES,1,"$16,100 ",1/5/2026,2014
301,1116,Visa,Credit,4808554251869440.00,2/21/2026,921,YES,2,"$8,700 ",1/12/2026,2012
3115,1116,Mastercard,Debit,5224739362243610.00,1/19/2026,922,YES,1,"$29,333 ",5/12/2026,2012
3880,1752,Mastercard,Debit,5294178176133530.00,7/24/2026,265,YES,2,"$9,496 ",7/9/2026,2012
1766,192,Visa,Debit,4857799018106610.00,7/21/2026,930,YES,1,"$25,499 ",2/20/2026,2020
1767,192,Visa,Debit,4324062360619920.00,2/20/2026,358,YES,1,"$18,641 ",2/20/2026,2020
745,640,Visa,Debit,4852639114720720.00,5/23/2026,995,YES,1,"$26,019 ",1/20/2026,2020
1459,1679,Mastercard,Debit,5656383455895230.00,1/21/2026,547,YES,1,"$25,845 ",2/20/2026,2020
138,1094,Visa,Debit,4556928160477220.00,6/23/2026,64,YES,2,"$2,365 ",1/7/2026,2009
3755,1094,Mastercard,Debit,5515782790823580.00,6/23/2026,419,YES,2,"$18,684 ",7/6/2026,2017
1768,1094,Visa,Credit,4508388296516450.00,2/21/2026,364,NO,2,"$7,400 ",2/20/2026,2020
5924,1590,Mastercard,Debit,5548265564669330.00,12/24/2026,145,YES,2,"$4,147 ",12/8/2026,2016
6074,1660,Visa,Debit (Prepaid),4986270376099440.00,4/22/2026,385,YES,1,$76 ,12/12/2026,2012
5923,1660,Discover,Credit,6726060094896110.00,1/9/2026,105,NO,1,"$4,700 ",12/8/2026,2014
4223,1660,Visa,Credit,4157109762296140.00,6/21/2026,433,YES,2,"$5,800 ",8/7/2026,2011
4455,1660,Mastercard,Debit,5231462717450520.00,3/24/2026,754,YES,2,"$12,082 ",8/16/2026,2016
3234,1660,Mastercard,Credit,5074836567307560.00,3/23/2026,741,NO,2,"$6,000 ",6/2/2026,2010
1005,1660,Visa,Debit,4986369179342270.00,11/9/2026,367,YES,1,$620 ,2/2/2026,2014
151,1747,Mastercard,Debit,5892013969159900.00,8/22/2026,879,YES,1,"$14,499 ",1/8/2026,2008
4198,1747,Mastercard,Debit,5179157151686140.00,7/23/2026,457,YES,2,"$12,332 ",8/7/2026,2009
4403,1747,Mastercard,Debit,5569640141329520.00,9/24/2026,904,YES,1,"$18,424 ",8/13/2026,2013
4120,1747,Visa,Credit,4708914311449290.00,7/23/2026,149,NO,1,"$15,400 ",8/3/2026,2008
4224,1747,Visa,Debit,4795724941278910.00,2/22/2026,136,YES,2,"$14,548 ",8/7/2026,2013
4895,1747,Mastercard,Credit,5300159511214990.00,12/16/2026,740,YES,2,"$10,100 ",9/16/2026,2016
1028,153,Discover,Credit,6580244636542190.00,4/11/2026,416,YES,1,"$11,200 ",2/4/2026,2008
5956,153,Mastercard,Debit,5032457975030960.00,10/24/2026,240,YES,2,"$20,291 ",12/9/2026,2011
107,153,Visa,Debit,4382324870900900.00,8/18/2026,852,YES,1,"$32,092 ",1/6/2026,2010
440,153,Mastercard,Debit,5456808094753900.00,2/20/2026,217,YES,1,"$20,463 ",1/20/2026,2020
746,429,Visa,Debit,4465362453388900.00,8/22/2026,738,YES,1,"$15,802 ",1/20/2026,2020
1769,429,Visa,Debit,4668447208616690.00,2/20/2026,314,NO,2,"$4,612 ",2/20/2026,2020
421,429,Discover,Credit,6377595394803320.00,7/20/2026,675,YES,2,"$19,900 ",1/20/2026,2020
974,511,Mastercard,Debit (Prepaid),5117090980312400.00,10/20/2026,42,YES,1,$73 ,2/1/2000,2012
4707,511,Mastercard,Debit,5377858405611170.00,1/24/2026,24,YES,1,"$11,858 ",9/9/2026,2010
7,511,Mastercard,Debit,5585238056278280.00,3/5/2026,749,YES,1,"$9,664 ",1/1/1998,2011
2212,511,Mastercard,Debit,5355281784290560.00,6/20/2026,810,YES,1,"$8,367 ",3/9/2026,2009
1038,511,Visa,Credit,4150093118072730.00,6/22/2026,135,YES,2,"$6,100 ",2/4/2026,2009
1460,309,Mastercard,Debit,5979295728871780.00,2/20/2026,630,YES,3,"$9,944 ",2/20/2026,2020
747,309,Visa,Credit,4473643731469830.00,1/20/2026,771,YES,1,"$7,900 ",1/20/2026,2020
1770,309,Visa,Credit,4800116569994470.00,12/20/2026,201,YES,1,"$5,600 ",2/20/2026,2020
748,777,Visa,Debit,4832328468851060.00,8/23/2026,580,YES,1,"$68,400 ",1/20/2026,2020
441,777,Mastercard,Debit,5278075482033390.00,4/23/2026,437,YES,2,"$77,237 ",1/20/2026,2020
3679,1946,Visa,Debit,4869845530765330.00,8/24/2026,701,YES,2,"$4,488 ",7/2/2026,2015
5701,1946,Visa,Credit,4231526239204030.00,2/20/2026,499,YES,2,"$12,500 ",11/14/2026,2014
4510,1674,Mastercard,Debit,5813611925507600.00,12/20/2026,734,YES,2,"$23,432 ",9/1/2026,2008
2873,1674,Amex,Credit,366520954874839.00,5/22/2026,447,YES,2,"$8,800 ",5/5/2026,2011
1461,482,Mastercard,Credit,5392697458480960.00,2/20/2026,886,YES,2,"$12,100 ",2/20/2026,2020
442,877,Mastercard,Debit,5048151330736420.00,2/20/2026,931,YES,1,"$9,708 ",1/20/2026,2020
3877,877,Amex,Credit,371643368691556.00,11/21/2026,683,YES,2,"$12,000 ",7/9/2026,2011
2296,877,Mastercard,Debit,5700734711260260.00,11/23/2026,230,YES,1,"$11,973 ",3/12/2026,2012
5048,128,Mastercard,Debit,5389442391430670.00,2/22/2026,658,YES,2,"$13,601 ",10/6/2026,2014
1462,128,Mastercard,Credit,5079116875907420.00,1/24/2026,849,YES,2,"$7,800 ",2/20/2026,2020
4269,775,Visa,Debit,4390425683290560.00,10/23/2026,790,YES,2,"$17,816 ",8/8/2026,2016
5188,1536,Mastercard,Debit,5217568630125700.00,3/21/2026,625,NO,2,"$17,707 ",10/10/2026,2010
2874,1536,Amex,Credit,397856635669220.00,11/20/2026,2,YES,1,"$9,500 ",5/5/2026,2009
3041,140,Mastercard,Debit,5529182104663860.00,1/22/2026,182,YES,1,"$19,110 ",5/10/2026,2011
5312,140,Mastercard,Debit,5489017664251280.00,8/23/2026,196,YES,1,"$13,428 ",10/16/2026,2016
4150,140,Mastercard,Debit,5793675314684780.00,6/22/2026,43,YES,1,"$24,608 ",8/5/2026,2009
152,140,Mastercard,Debit,5845373196638990.00,9/22/2026,111,YES,1,"$13,441 ",1/8/2026,2011
443,1884,Mastercard,Debit (Prepaid),5750288075891800.00,2/20/2026,788,YES,2,$74 ,1/20/2026,2020
3377,1874,Mastercard,Debit,5429789020188280.00,10/12/2026,674,YES,1,"$17,872 ",6/8/2026,2008
5789,1874,Mastercard,Credit,5301114615829910.00,9/22/2026,425,YES,1,"$12,900 ",12/3/2026,2010
2106,1874,Mastercard,Debit,5571104183564020.00,5/24/2026,52,YES,2,"$25,264 ",3/6/2026,2020
2078,1874,Mastercard,Debit,5401948301255030.00,12/22/2026,920,YES,2,"$20,634 ",3/5/2026,2007
5866,1310,Visa,Credit,4295364044956970.00,4/7/2026,656,YES,2,"$12,200 ",12/6/2026,2010
173,1310,Visa,Credit,4737484014371340.00,2/10/2026,221,YES,2,"$5,500 ",1/8/2026,2008
1771,1689,Visa,Credit,4509365132510760.00,3/20/2026,281,NO,2,"$6,600 ",2/20/2026,2020
6132,1689,Mastercard,Debit,5068255294282300.00,11/20/2026,890,YES,1,"$25,815 ",12/17/2026,2017
327,379,Amex,Credit,354813103334804.00,6/21/2026,527,YES,2,"$8,400 ",1/14/2026,2014
2019,379,Mastercard,Debit,5910929635230860.00,2/20/2026,525,YES,1,"$21,628 ",3/1/2026,2008
3881,379,Mastercard,Debit,5400182448188960.00,10/21/2026,412,YES,1,"$24,232 ",7/9/2026,2009
1166,34,Mastercard,Debit,5039048842448180.00,11/23/2026,339,YES,2,"$10,775 ",2/9/2026,2010
3342,34,Mastercard,Debit (Prepaid),5672012369002300.00,2/20/2026,598,YES,2,$105 ,6/7/2026,2013
5622,822,Visa,Credit,4336733185475860.00,1/21/2026,221,NO,2,"$7,100 ",11/10/2026,2010
5424,822,Mastercard,Debit,5985582173054290.00,7/24/2026,951,YES,1,"$29,351 ",11/5/2026,2007
2558,822,Mastercard,Debit,5281056728185170.00,3/20/2026,835,YES,2,"$15,125 ",4/8/2026,2012
5385,822,Mastercard,Credit,5615660494634700.00,11/21/2026,865,YES,2,"$8,000 ",11/3/2026,2008
5596,822,Mastercard,Debit (Prepaid),5314878099448740.00,5/11/2026,994,YES,1,$83 ,11/10/2026,2010
3991,1499,Amex,Credit,311095486859536.00,1/24/2026,536,YES,2,"$23,700 ",7/12/2026,2012
6126,1780,Visa,Credit,4624747592911120.00,2/24/2026,986,YES,2,$700 ,12/16/2026,2016
3756,1806,Mastercard,Debit,5595562388674400.00,7/24/2026,594,YES,2,"$7,488 ",7/6/2026,2016
971,811,Visa,Credit,4171022488649330.00,1/2/2026,225,NO,1,"$24,900 ",2/1/1999,2010
2079,811,Mastercard,Debit,5246337038556760.00,6/21/2026,638,YES,2,"$30,971 ",3/5/2026,2020
387,811,Amex,Credit,399966116933253.00,1/24/2026,343,YES,1,"$24,400 ",1/20/2026,2020
444,811,Mastercard,Debit,5064137987234660.00,2/20/2026,599,YES,2,"$53,549 ",1/20/2026,2020
5277,811,Visa,Debit,4905540969337030.00,9/18/2026,573,YES,1,"$53,036 ",10/13/2026,2013
4358,811,Mastercard,Debit,5703849820939460.00,12/24/2026,300,YES,1,"$35,750 ",8/11/2026,2011
2318,811,Visa,Debit,4055403312631050.00,7/21/2026,902,YES,1,"$33,375 ",3/13/2026,2013
6019,1844,Visa,Debit (Prepaid),4587476056357150.00,7/23/2026,858,YES,2,$22 ,12/10/2026,2010
4421,1844,Discover,Credit,6521426249819190.00,11/20/2026,608,YES,1,"$13,100 ",8/14/2026,2014
3702,1844,Visa,Debit,4199712815274630.00,10/24/2026,440,YES,1,"$16,516 ",7/3/2026,2011
2854,1844,Mastercard,Credit,5172743861765170.00,7/16/2026,906,YES,1,"$15,700 ",5/4/2026,2011
4114,1844,Mastercard,Debit,5214643602729090.00,5/24/2026,474,YES,1,"$21,058 ",8/3/2026,2007
28,1852,Visa,Debit,4013876625955760.00,10/23/2026,543,YES,2,"$36,425 ",1/2/2026,2004
6127,1852,Visa,Debit (Prepaid),4966050979388900.00,3/21/2026,585,YES,2,$91 ,12/16/2026,2016
2477,1852,Mastercard,Credit,5247576622089390.00,9/21/2026,379,YES,1,"$13,400 ",4/5/2026,2014
2632,1852,Mastercard,Credit,5911319900289830.00,4/21/2026,37,YES,2,"$21,600 ",4/10/2026,2010
1463,1231,Mastercard,Debit,5058769177189800.00,2/20/2026,12,NO,1,"$9,090 ",2/20/2026,2020
5679,970,Visa,Debit,4682877628388630.00,2/23/2026,846,NO,1,"$25,942 ",11/12/2026,2012
1012,970,Mastercard,Credit,5882842508952740.00,7/19/2026,614,YES,2,"$10,700 ",2/3/2026,2013
1464,970,Mastercard,Credit,5637149260486790.00,7/22/2026,630,YES,2,"$4,900 ",2/20/2026,2020
1465,381,Mastercard,Credit,5115700923413240.00,4/22/2026,587,NO,1,"$18,100 ",2/20/2026,2020
